P,G(i),H_sun,T2m,WS10m,Int,hora,mes,Valor probable fut
0.0,0.0,0.0,9.93,2.21,0.0,5,1,0.0
0.0,0.0,0.0,9.63,2.21,0.0,6,1,0.0
0.0,0.0,0.0,10.61,2.0,0.0,7,1,0.0
0.0,0.0,0.0,10.57,2.0,0.0,8,1,11.49
262.44,320.73,8.55,10.72,1.93,0.0,9,1,43.83
447.44,538.42,15.72,11.7,1.86,0.0,10,1,251.1
582.56,714.18,20.9,12.79,1.66,0.0,11,1,653.43
642.6,809.48,23.59,14.2,1.03,0.0,12,1,636.66
600.8,758.43,23.48,14.89,0.76,0.0,13,1,562.54
541.29,673.65,20.57,15.36,1.17,0.0,14,1,401.01
428.24,524.61,15.21,15.5,1.86,0.0,15,1,52.79
216.11,272.5,7.9,15.17,2.21,0.0,16,1,0.0
0.0,0.0,0.0,14.09,2.48,0.0,17,1,0.0
0.0,0.0,0.0,12.78,2.55,0.0,18,1,0.0
0.0,0.0,0.0,12.06,2.62,0.0,19,1,0.0
0.0,0.0,0.0,11.19,2.55,0.0,20,1,0.0
0.0,0.0,0.0,10.46,2.69,0.0,21,1,0.0
0.0,0.0,0.0,9.77,2.76,0.0,22,1,0.0
0.0,0.0,0.0,9.16,2.83,0.0,23,1,0.0
0.0,0.0,0.0,8.55,2.76,0.0,0,1,0.0
0.0,0.0,0.0,8.12,2.76,0.0,1,1,0.0
0.0,0.0,0.0,7.6,2.69,0.0,2,1,0.0
0.0,0.0,0.0,7.23,2.83,0.0,3,1,0.0
0.0,0.0,0.0,6.66,2.97,0.0,4,1,0.0
0.0,0.0,0.0,6.36,3.03,0.0,5,1,0.0
0.0,0.0,0.0,6.22,3.03,0.0,6,1,0.0
0.0,0.0,0.0,6.55,2.9,0.0,7,1,0.0
0.0,0.0,0.0,6.66,2.9,0.0,8,1,266.76
268.84,321.15,8.58,6.87,2.97,0.0,9,1,512.53
469.91,551.13,15.78,7.84,2.83,0.0,10,1,621.96
595.73,709.28,20.98,9.34,2.76,0.0,11,1,675.63
657.23,794.92,23.7,11.07,2.76,0.0,12,1,640.15
650.96,791.46,23.61,12.54,2.9,0.0,13,1,553.88
576.47,698.29,20.71,13.53,2.97,0.0,14,1,412.6
428.73,516.12,15.36,13.88,3.1,0.0,15,1,227.45
216.29,270.06,8.05,13.53,2.76,0.0,16,1,0.0
0.0,0.0,0.0,12.4,2.62,0.0,17,1,0.0
0.0,0.0,0.0,10.82,2.48,0.0,18,1,0.0
0.0,0.0,0.0,9.52,3.1,0.0,19,1,0.0
0.0,0.0,0.0,8.71,3.24,0.0,20,1,0.0
0.0,0.0,0.0,8.1,3.38,0.0,21,1,0.0
0.0,0.0,0.0,7.65,3.38,0.0,22,1,0.0
0.0,0.0,0.0,7.24,3.24,0.0,23,1,0.0
0.0,0.0,0.0,6.75,2.97,0.0,0,1,0.0
0.0,0.0,0.0,6.26,2.9,0.0,1,1,0.0
0.0,0.0,0.0,5.85,2.83,0.0,2,1,0.0
0.0,0.0,0.0,5.57,2.9,0.0,3,1,0.0
0.0,0.0,0.0,5.38,2.97,0.0,4,1,0.0
0.0,0.0,0.0,5.24,3.03,0.0,5,1,0.0
0.0,0.0,0.0,4.34,3.1,0.0,6,1,0.0
0.0,0.0,0.0,4.44,3.03,0.0,7,1,0.0
0.0,0.0,0.0,4.34,3.03,0.0,8,1,265.08
