P;G(i);H_sun;T2m;WS10m;Int;hora;mes;Valor probable fut
0;0;0;1172;276;0;17;1;0
0;0;0;103;29;0;18;1;0
0;0;0;896;303;0;19;1;0
0;0;0;805;29;0;20;1;0
0;0;0;726;283;0;21;1;0
0;0;0;657;269;0;22;1;0
0;0;0;60;269;0;23;1;0
0;0;0;554;269;0;0;1;0
0;0;0;515;269;0;1;1;0
0;0;0;489;269;0;2;1;0
0;0;0;471;269;0;3;1;0
0;0;0;344;276;0;4;1;0
0;0;0;33;276;0;5;1;0
0;0;0;323;283;0;6;1;0
0;0;0;311;276;0;7;1;0
0;0;0;291;276;0;8;1;2712
26508;31267;868;355;262;0;9;1;47035
46672;54686;1592;675;228;0;10;1;59781
59808;71784;2117;935;207;0;11;1;65886
66338;81404;2393;1117;179;0;12;1;64842
64613;80349;2388;1242;124;0;13;1;58142
57097;71109;2101;1315;69;0;14;1;4358
42866;52846;1568;1348;41;0;15;1;21629
23118;2901;837;1338;62;0;16;1;0
0;0;0;1232;124;0;17;1;0
0;0;0;1011;172;0;18;1;0
0;0;0;844;20;0;19;1;0
0;0;0;73;214;0;20;1;0
0;0;0;647;234;0;21;1;0
0;0;0;588;255;0;22;1;0
0;0;0;538;248;0;23;1;0
0;0;0;502;228;0;0;1;0
0;0;0;473;228;0;1;1;0
0;0;0;437;248;0;2;1;0
0;0;0;425;255;0;3;1;0
0;0;0;421;255;0;4;1;0
0;0;0;418;262;0;5;1;0
0;0;0;425;276;0;6;1;0
0;0;0;45;276;0;7;1;0
0;0;0;444;269;0;8;1;26508
27629;32629;874;392;234;0;9;1;46672
46917;55202;160;772;234;0;10;1;59808
53454;64176;2128;1046;20;0;11;1;66338
46188;56416;2406;1221;83;0;12;1;64842
38001;46304;2403;1305;103;0;13;1;43458
31006;37847;2117;1309;97;0;14;1;2827
16866;21253;1584;1286;138;0;15;1;20449
4595;7035;854;1244;69;0;16;1;10471
0;0;0;1169;97;0;17;1;0
0;0;0;1084;97;0;18;1;0
0;0;0;1042;11;0;19;1;0
0;0;0;95;145;0;20;1;0
0;0;0;903;172;0;21;1;0
0;0;0;88;20;0;22;1;0
0;0;0;961;283;0;23;1;0
0;0;0;1032;324;0;0;1;0
0;0;0;1078;297;0;1;1;0
0;0;0;110;352;0;2;1;0
0;0;0;1114;386;0;3;1;0
0;0;0;1127;455;0;4;1;0
0;0;0;1104;503;0;5;1;0
0;0;0;1075;49;0;6;1;0
0;0;0;1027;497;0;7;1;0
0;0;0;1059;448;0;8;1;3661
452;6878;88;1092;483;0;9;1;15825
5346;788;1608;1118;483;0;10;1;12246
6195;890;2139;115;455;0;11;1;7491
5486;8066;242;1171;469;0;12;1;4803
4483;6861;2418;1185;552;0;13;1;71811
2334;4172;2134;1178;552;0;14;1;27869
4179;649;1601;1178;524;0;15;1;11207
5263;7793;871;118;531;0;16;1;0
0;0;0;1165;49;0;17;1;0
0;0;0;1164;455;0;18;1;0
0;0;0;1163;428;0;19;1;0
0;0;0;1173;441;0;20;1;0
0;0;0;1194;448;0;21;1;0
0;0;0;1203;434;0;22;1;0
0;0;0;1204;407;0;23;1;0
0;0;0;1213;386;0;0;1;0
0;0;0;1178;345;0;1;1;0
0;0;0;1184;317;0;2;1;0
0;0;0;1195;324;0;3;1;0
0;0;0;1193;303;0;4;1;0
0;0;0;1201;29;0;5;1;0
0;0;0;1193;303;0;6;1;0
0;0;0;1201;352;0;7;1;0
0;0;0;1199;317;0;8;1;1699
1045;241;887;1207;297;0;9;1;21115
1334;17116;1618;1213;283;0;10;1;10825
14901;18952;2151;1228;269;0;11;1;2517
22414;27507;2434;1235;269;0;12;1;55084
19745;24472;2434;1234;276;0;13;1;62628
4999;751;2151;1227;276;0;14;1;31953
6653;9468;1619;1207;234;0;15;1;7832
2695;4646;889;119;193;0;16;1;0
0;0;0;1161;159;0;17;1;0
0;0;0;1128;117;0;18;1;0
0;0;0;1113;48;0;19;1;0
0;0;0;1095;62;0;20;1;0
0;0;0;1075;76;0;21;1;0
0;0;0;1087;69;0;22;1;0
0;0;0;1056;83;0;23;1;0
0;0;0;102;11;0;0;1;0
0;0;0;100;138;0;1;1;0
0;0;0;976;159;0;2;1;0
0;0;0;953;159;0;3;1;0
0;0;0;962;145;0;4;1;0
0;0;0;932;186;0;5;1;0
0;0;0;942;228;0;6;1;0
0;0;0;954;255;0;7;1;12611
0;0;0;978;31;0;8;1;879
747;1947;895;1004;345;0;9;1;6645
5667;8251;1628;1095;434;0;10;1;5184
164;3245;2163;1162;538;0;11;1;5934
4633;7046;2449;1212;683;0;12;1;6981
3129;5192;2451;1205;662;0;13;1;2659
3565;5748;2169;1255;641;0;14;1;914
2758;4728;1637;1246;71;0;15;1;4732
2193;3987;907;1189;772;0;16;1;0
0;0;0;1103;772;0;17;1;0
0;0;0;1001;793;0;18;1;0
0;0;0;986;634;0;19;1;0
0;0;0;938;572;0;20;1;0
0;0;0;905;552;0;21;1;0
0;0;0;888;572;0;22;1;0
0;0;0;848;572;0;23;1;0
0;0;0;828;545;0;0;1;0
0;0;0;882;552;0;1;1;0
0;0;0;86;607;0;2;1;0
0;0;0;77;676;0;3;1;0
0;0;0;798;614;0;4;1;0
0;0;0;809;579;0;5;1;0
0;0;0;816;60;0;6;1;0
0;0;0;803;71;0;7;1;0
0;0;0;813;621;0;8;1;68
16912;20867;904;835;593;0;9;1;21369
16501;20283;1639;881;607;0;10;1;8013
2517;4357;2176;872;60;0;11;1;23558
55084;64027;2465;93;60;0;12;1;2237
27097;32136;2468;93;552;0;13;1;625
62842;73346;2188;917;552;0;14;1;25071
17413;21315;1656;894;545;0;15;1;5832
17672;2175;926;867;531;0;16;1;0
0;0;0;819;524;0;17;1;0
0;0;0;792;476;0;18;1;0
0;0;0;792;434;0;19;1;0
0;0;0;761;414;0;20;1;0
0;0;0;746;40;0;21;1;0
0;0;0;746;407;0;22;1;0
0;0;0;741;407;0;23;1;0
0;0;0;75;414;0;0;1;0
0;0;0;752;407;0;1;1;0
0;0;0;75;386;0;2;1;0
0;0;0;767;386;0;3;1;0
0;0;0;763;359;0;4;1;0
0;0;0;726;366;0;5;1;0
0;0;0;722;345;0;6;1;0
0;0;0;695;40;0;7;1;0
0;0;0;725;407;0;8;1;2722
27648;32989;913;757;40;0;9;1;2564
42604;4956;165;846;476;0;10;1;7614
62205;72823;219;931;51;0;11;1;55905
67843;80293;2481;985;462;0;12;1;58033
38101;4487;2487;1037;448;0;13;1;62229
61177;72305;2207;1063;455;0;14;1;33273
26384;3152;1675;1048;434;0;15;1;4416
17132;21324;945;1027;421;0;16;1;0
0;0;0;985;386;0;17;1;0
0;0;0;94;345;0;18;1;0
0;0;0;896;338;0;19;1;0
0;0;0;892;352;0;20;1;0
0;0;0;874;359;0;21;1;0
0;0;0;864;331;0;22;1;0
0;0;0;865;324;0;23;1;0
0;0;0;865;283;0;0;1;0
0;0;0;841;248;0;1;1;0
0;0;0;795;234;0;2;1;0
0;0;0;738;207;0;3;1;0
0;0;0;75;186;0;4;1;0
0;0;0;713;207;0;5;1;0
0;0;0;683;214;0;6;1;0
0;0;0;755;269;0;7;1;4588
0;0;0;747;248;0;8;1;21302
2170;26398;922;805;269;0;9;1;33625
6335;899;1662;925;29;0;10;1;43473
24897;29913;2205;1018;366;0;11;1;44068
12301;15887;2498;1064;421;0;12;1;13916
49601;5855;2505;1078;414;0;13;1;40577
26402;31615;2226;108;448;0;14;1;22215
15505;19402;1695;1078;421;0;15;1;5158
11764;15265;964;1069;434;0;16;1;0
0;0;0;1026;407;0;17;1;0
0;0;0;985;393;0;18;1;0
0;0;0;951;359;0;19;1;0
0;0;0;928;338;0;20;1;0
0;0;0;92;331;0;21;1;0
0;0;0;922;317;0;22;1;0
0;0;0;902;317;0;23;1;0
0;0;0;885;324;0;0;1;0
0;0;0;873;303;0;1;1;0
0;0;0;87;317;0;2;1;0
0;0;0;873;331;0;3;1;0
0;0;0;871;331;0;4;1;0
0;0;0;88;324;0;5;1;0
0;0;0;888;331;0;6;1;0
0;0;0;916;366;0;7;1;0
0;0;0;922;379;0;8;1;2857
18053;22323;933;938;386;0;9;1;16428
8737;11783;1675;1029;393;0;10;1;52823
33231;39309;222;1102;497;0;11;1;15655
11021;14472;2516;116;593;0;12;1;53776
5507;64885;2525;1168;559;0;13;1;17189
13754;17543;2247;1163;538;0;14;1;683
25462;30553;1716;1154;538;0;15;1;11764
5158;7653;984;1138;476;0;16;1;0
0;0;0;110;428;0;17;1;0
0;0;0;1064;40;0;18;1;0
0;0;0;1025;434;0;19;1;0
0;0;0;1022;421;0;20;1;0
0;0;0;1022;407;0;21;1;0
0;0;0;103;407;0;22;1;0
0;0;0;1039;393;0;23;1;0
0;0;0;1032;372;0;0;1;0
0;0;0;1004;372;0;1;1;0
0;0;0;1007;393;0;2;1;0
0;0;0;1002;407;0;3;1;0
0;0;0;1011;407;0;4;1;0
0;0;0;1003;428;0;5;1;0
0;0;0;1006;448;0;6;1;0
0;0;0;1003;469;0;7;1;0
0;0;0;999;434;0;8;1;18053
2857;3439;944;102;455;0;9;1;8737
16428;20426;1688;1089;483;0;10;1;33231
2194;26644;2236;1172;614;0;11;1;11021
38816;4596;2534;1211;51;0;12;1;5507
25496;3082;2545;1275;579;0;13;1;3017
22519;27391;2268;126;628;0;14;1;28655
19548;23917;1736;1186;697;0;15;1;403
6484;9183;1004;107;683;0;16;1;6636
0;0;0;95;703;0;17;1;0
0;0;0;832;676;0;18;1;0
0;0;0;804;655;0;19;1;0
0;0;0;743;676;0;20;1;0
0;0;0;696;683;0;21;1;0
0;0;0;657;697;0;22;1;0
0;0;0;625;717;0;23;1;0
0;0;0;602;731;0;0;1;0
0;0;0;582;697;0;1;1;0
0;0;0;563;648;0;2;1;0
0;0;0;551;621;0;3;1;0
0;0;0;55;607;0;4;1;0
0;0;0;556;614;0;5;1;0
0;0;0;563;628;0;6;1;1826
